2025-12-09 11:19:18 | WARNING  | rate_limiter | <module>:57 | Redis bağlantısı başarısız, in-memory kullanılacak: Timeout connecting to server
2025-12-09 11:19:18 | INFO     | rate_limiter | setup_rate_limiter:104 | Rate limiting middleware aktif ✅
2025-12-09 11:19:18 | INFO     | __main__ | lifespan:30 | ElektrAize API baslatiliyor...
2025-12-09 11:19:18 | INFO     | __main__ | lifespan:31 | ============================================================
2025-12-09 11:19:18 | INFO     | __main__ | lifespan:32 | Tum modeller yukleniyor...
2025-12-09 11:19:18 | INFO     | __main__ | lifespan:33 | ============================================================
2025-12-09 11:19:18 | INFO     | anomaly_router | load_all_models:162 | Model yükleme işlemi başlatılıyor
2025-12-09 11:19:18 | INFO     | anomaly_router | load_all_models:166 | genel kategorisi için model yükleniyor (target: Genel_Toplam_MWh)
2025-12-09 11:19:18 | INFO     | veri_cek | _initialize:402 | Supabase bağlantısı başarılı (SupabaseManager).
2025-12-09 11:19:19 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-09 11:19:20 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-09 11:19:20 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-09 11:19:20 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-09 11:19:20 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:20 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:20 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-09 11:19:20 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-09 11:19:20 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-09 11:19:21 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-09 11:19:21 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-09 11:19:21 | INFO     | anomaly_router | load_all_models:198 | genel modeli yüklendi - Train R²: 0.999, Test R²: 0.987
2025-12-09 11:19:21 | INFO     | anomaly_router | load_all_models:166 | aydinlatma kategorisi için model yükleniyor (target: Aydinlatma_MWh)
2025-12-09 11:19:21 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-09 11:19:22 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-09 11:19:22 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-09 11:19:22 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-09 11:19:22 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:22 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:22 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-09 11:19:22 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-09 11:19:22 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-09 11:19:23 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-09 11:19:23 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-09 11:19:23 | INFO     | anomaly_router | load_all_models:198 | aydinlatma modeli yüklendi - Train R²: 0.954, Test R²: 0.859
2025-12-09 11:19:23 | INFO     | anomaly_router | load_all_models:166 | mesken kategorisi için model yükleniyor (target: Mesken_MWh)
2025-12-09 11:19:23 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-09 11:19:23 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-09 11:19:24 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-09 11:19:24 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-09 11:19:24 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:24 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-09 11:19:24 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-09 11:19:24 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-09 11:19:24 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
